#,Prioridad,Tipo de solapamiento,Keyword / términos en común,Título,URL actual,Categoría,Keyword principal,Clics,Impresiones,CTR,Posición,Palabras,Modificado,Acción sugerida
,,,,Places to visit in Cusco for your next trip,https://www.perugrandtravel.com/blog/places-to-visit-in-cusco/,Cusco,Places to visit in Cusco,0,549,0,25.61,1943,2026-05-18,Fusionar y redirigir 301 a la canónica
49,Baja,Títulos muy similares (Jaccard 0.6),"sacred, things, valley",Things to Do in Sacred Valley: 15 Power Experiences,https://www.perugrandtravel.com/blog/things-to-do-in-sacred-valley/,Cusco,Things to Do in Sacred Valley,5,1763,0.00283607487237663,29.8,2649,2026-02-24,CANÓNICA — consolidar aquí
,,,,The 15 Best Things to Do in the Sacred Valley,https://www.perugrandtravel.com/blog/things-to-do-in-the-sacred-valley/,Cusco,Best Things to Do In The Sacred Valley,1,251,0.00398406374501992,62.23,3330,2026-06-13,Fusionar y redirigir 301 a la canónica
50,Alta,Keyword principal idéntica,salkantay trek,5 Tips for Doing the Salkantay Trek and Enjoying It Better,https://www.perugrandtravel.com/blog/tips-for-doing-the-salkantay-trek/,Cusco,Salkantay Trek,2,496,0.00403225806451613,61.78,1015,2024-09-28,CANÓNICA — consolidar aquí
,,,,When is the best time to do the Salkantay Trek?,https://www.perugrandtravel.com/blog/when-is-the-best-time-to-do-the-salkantay-trek/,Cusco,Salkantay Trek,0,1022,0,24,1150,2024-09-28,Fusionar y redirigir 301 a la canónica
51,Media,Keyword compartida (principal vs. secundaria),sacred valley peru,The 15 Best Things to Do in the Sacred Valley,https://www.perugrandtravel.com/blog/things-to-do-in-the-sacred-valley/,Cusco,Best Things to Do In The Sacred Valley,1,251,0.00398406374501992,62.23,3330,2026-06-13,CANÓNICA — consolidar aquí
,,,,Our Ultimate Guide to The Magical Sacred Valley Peru!,https://www.perugrandtravel.com/blog/guide-to-the-sacred-valley-peru/,Cusco,Sacred Valley Peru,,,,,2206,2026-06-06,Fusionar y redirigir 301 a la canónica
52,Media,Keyword compartida (principal vs. secundaria),cusco travel guide,Cusco Travel Guide: Discover the Jewel of the Andes,https://www.perugrandtravel.com/blog/cusco-travel-guide/,Cusco,cusco travel guide,2,248,0.00806451612903226,17.7,1504,2024-08-22,CANÓNICA — consolidar aquí
,,,,Cusco Hidden Gems to Visit in 2026,https://www.perugrandtravel.com/blog/cusco-hidden-gems-2026/,Cusco,Cusco hidden gems,,,,,1780,2026-07-01,Fusionar y redirigir 301 a la canónica
,,,,Our Ultimate Cusco Travel Guide,https://www.perugrandtravel.com/blog/the-ultimate-guide-to-cusco/,Cusco,Ultimate Guide to Cusco,,,,,3038,2026-06-06,Fusionar y redirigir 301 a la canónica
53,Media,Keyword compartida (principal vs. secundaria),ausangate snow,Is There Snow in Peru? Does It Snow at Machu Picchu? All You Need to Know For Snow in the Andes in 2027,https://www.perugrandtravel.com/blog/is-there-snow-in-peru/,Perú,Is there snow in Peru,,,,,2229,2026-08-17,CANÓNICA — consolidar aquí
,,,,"Ausangate Snow: A Real Guide to Understanding, Trekking, and Experiencing Peru’s Most Sacred Mountain",https://www.perugrandtravel.com/blog/ausangate-snow/,Cusco,Ausangate Snow,,,,,4069,2026-03-26,Diferenciar intención de búsqueda o fusionar
54,Baja,Títulos muy similares (Jaccard 0.6),"sacred, ultimate, valley",Our Ultimate Guide to The Magical Sacred Valley Peru!,https://www.perugrandtravel.com/blog/guide-to-the-sacred-valley-peru/,Cusco,Sacred Valley Peru,,,,,2206,2026-06-06,CANÓNICA — consolidar aquí
,,,,Our Ultimate Guide To The Best Restaurants In Sacred Valley,https://www.perugrandtravel.com/blog/the-best-restaurants-in-sacred-valley/,Cusco,The best restaurants in Sacred Valley,,,,,2755,2026-06-19,Diferenciar intención de búsqueda o fusionar
