Título,URL,Slug,Categoría de tour,Estilo de viaje,Etiquetas,Keyword principal,Keywords secundarias,Título SEO,Meta description,SEO score,Palabras,Publicado,Modificado,Estado,Clics,Impresiones,CTR,Posición,col_19,col_20
Inca Jungle Trek to Machu Picchu 4 days,https://www.perugrandtravel.com/tour/inca-jungle-trek-4d/,inca-jungle-trek-4d,Alternative Inca Trail Treks,Adventure,,Inca Jungle Trail,,4-Day Inca Jungle Trail to Machu Picchu,"Combine biking, trekking, and adventure sports on an alternative route to Machu Picchu through the Peruvian jungle.",75,0,2012-03-08,2026-06-04,publish,0,666,0,68.62,,
Fascinating adventure & challenge in the Andes 11D/10N,https://www.perugrandtravel.com/tour/fascinating-adventure-challenge-in-the-andes-11-days/,fascinating-adventure-challenge-in-the-andes-11-days,Tours in Peru,Combined Travel,Peru,Peru Itinerary 11 days,,"11-Day Peru Itinerary with Lima, Paracas & Cusco","Travel across Peru in 11 days visiting Lima, Paracas, Huacachina, Cusco, and Machu Picchu on a complete adventure itinerary.",73,0,2012-01-11,2026-06-03,publish,0,613,0,37.19,,
Holy Week in Cusco 6 days,https://www.perugrandtravel.com/tour/holy-week-in-cusco/,holy-week-in-cusco,,Events &amp; Festivals,Offers,Holy week in cusco,,Cusco Holy Week 2026 with 6-Day Cultural Experience,"Experience Holy Week in Cusco on a 6-day tour exploring traditional processions, religious ceremonies and Andean cultural heritage in Peru.",73,0,2024-01-05,2026-06-04,publish,0,357,0,38.09,,
Tour Waqrapukara,https://www.perugrandtravel.com/tour/tour-waqrapukara-cusco/,tour-waqrapukara-cusco,,,,waqrapukara cusco,,Tour Cusco - Waqrapukara - Cusco,"Embark on a Waqrapukara Cusco adventure, exploring stunning lakes and ancient ruins. Enjoy scenic hikes, local wildlife, and guided tours.",69,0,2024-08-07,2024-10-01,publish,0,307,0,53.83,,
Inca Jungle Combined 7 days,https://www.perugrandtravel.com/tour/inca-jungle-combined-7d/,inca-jungle-combined-7d,,Adventure,,,,,"✓ Book the 7-day Inca Jungle Trek, a new route that includes a city tour in Cusco, biking, hiking, exploration and adventure to Machu Picchu.",,0,2023-03-17,2025-04-02,publish,0,306,0,53.08,,
Amazon Rainforest Express 3 days,https://www.perugrandtravel.com/tour/amazon-rainforest-express-3d/,amazon-rainforest-express-3d,,,,,,,"Amazonia express knows the apu Victor lake, monkey island, cocha Caiman. All inclusive as the lodge, food, among others.",,0,2023-03-27,2025-04-02,publish,,,,,,
Ballestas & Huacachina Islands - Full Day,https://www.perugrandtravel.com/tour/ballestas-huacachina-islands-full-day/,ballestas-huacachina-islands-full-day,,,,Ballestas & Huacachina islands,,Ballestas & Huacachina Islands with sandboard & buggies-Full Day,"Discover the Ballestas & Huacachina islands in one day. Explore marine wildlife, visit Ica’s wineries, and enjoy a thrilling dune buggy ride.",76,0,2024-08-08,2024-10-01,publish,,,,,,
Incredible Experience Machu Picchu 7 days,https://www.perugrandtravel.com/?post_type=tour&p=19295,incredible-experience-machu-picchu-7-days,Tours in Machu Picchu,,Machu Picchu Tours,machu picchu itinerary 7 days,,▷ Incredible Experience MACHU PICCHU itinerary 7 days,"Machu Picchu itinerary 7 days, explore the Cultural and Natural Wealth of Peru, with the Inca Wonder, live an Unparalleled Adventure!",62,0,2025-04-01,2025-04-07,draft,,,,,,
Peru Private Circle,https://www.perugrandtravel.com/?post_type=tour&p=19859,peru-private-romance-copy,,Combined Travel,"Ica Tours, Peru, Recommended",Peru Private Romance,,"≫ Experience Peru Private Romance: Lima, Machu Picchu y Cusco","Peru Private Romance es un viaje privado 4 estrellas superior para parejas que desean vivir Lima, el Valle Sagrado, Machu Picchu y Cusco",12,0,2012-01-06,2026-05-27,draft,,,,,,
Peru Private Romance,https://www.perugrandtravel.com/?post_type=tour&p=19844,peru-private-romance,,Combined Travel,"Ica Tours, Peru, Recommended",Peru Private Romance,,"≫ Experience Peru Private Romance: Lima, Machu Picchu y Cusco","Peru Private Romance es un viaje privado 4 estrellas superior para parejas que desean vivir Lima, el Valle Sagrado, Machu Picchu y Cusco",79,0,2012-01-06,2026-05-27,draft,,,,,,
Sacred Valley + Machu Picchu 2D,https://www.perugrandtravel.com/tour/sacred-valley-machu-picchu-2d/,sacred-valley-machu-picchu-2d,,Trekking,,Sacred Valley and Machu Picchu,,≫ Sacred Valley and Machu Picchu - Unforgettable Tour 2d,"Experience the magic, explore the Sacred Valley and Machu Picchu on a 2-day tour. Venture out and discover the beauty of the Andes",69,0,2024-08-28,2024-10-01,publish,,,,,,
The Lost Kingdoms Of Moche Route - Chiclayo and Trujillo 5 days,https://www.perugrandtravel.com/tour/moche-route-chiclayo-and-trujillo-5d/,moche-route-chiclayo-and-trujillo-5d,,,,moche route tour,,≫ The Moche Route tour: Chiclayo and Trujillo 5 days,"Immerse yourself in the Moche Route with a 5-day tour through Chiclayo and Trujillo, exploring fascinating archaeological ruins.",69,0,2012-01-01,2025-04-01,publish,,,,,,
Tour Sacred Valley of the Incas,https://www.perugrandtravel.com/tour/sacred-valley-of-the-incas-tour/,sacred-valley-of-the-incas-tour,,,,sacred valley tour,,Sacred Valley of the Incas Tour,"Dare to know the sacred valley of the incas, book here at the best price and service, include ✔️Transportacion, ✔️Guide, ✔️ Best experience.",67,0,2024-08-07,2024-10-01,publish,,,,,,
"Tour by Bike Maras, Moray and Salineras",https://www.perugrandtravel.com/tour/tour-by-bike-maras-moray-and-salineras/,tour-by-bike-maras-moray-and-salineras,Day Tours in Cusco,"Adrenaline, Traditional",Cusco,maras salt mines tour,,Maras & Moray Bike Tour from Cusco,"Ride through the Andes visiting Maras, Moray, and the Salt Mines on an exciting cycling adventure from Cusco.",62,0,2024-08-05,2026-06-04,publish,,,,,,
